,CMName,CMID,Key_SD5,Name_SD5,Key_SD6,Name_SD6
0,Acholi,SM250008,Q84: 788; COUNTRY: 18,Acholi,Q87: 788; COUNTRY: 34,Acholi
1,"Adamawa Fulani (Cameroon, Chad, Sudan)",SM251028,Q84: 1243; COUNTRY: 26,Foulbé,Q87: 2220; COUNTRY: 6,Peule
2,"Adamawa Fulani (Cameroon, Chad, Sudan)",SM251028,Q84: 2223; COUNTRY: 26,Peule,Q87: 2220; COUNTRY: 6,Peule
3,Adhola,SM250891,Q84: 792; COUNTRY: 18,Japhadhola,Q87: 792; COUNTRY: 34,Japhadhola
4,Adja,SM250838,Q84: 1; COUNTRY: 24,Adja,Q87: 5; COUNTRY: 2,Adja
5,Adja,SM250838,Q84: 1; COUNTRY: 24,Adja,Q87: 5; COUNTRY: 32,Adja
6,Adja,SM250838,Q84: 1; COUNTRY: 1,Adja,Q87: 5; COUNTRY: 2,Adja
7,Adja,SM250838,Q84: 1; COUNTRY: 1,Adja,Q87: 5; COUNTRY: 32,Adja
8,Afrikaaner,SM250839,Q84: 2; COUNTRY: 13,Afrikaaner,Q87: 7; COUNTRY: 28,Afrikaner
9,Afrikaaner,SM250839,Q84: 2; COUNTRY: 13,Afrikaaner,Q87: 7; COUNTRY: 22,Afrikaner
10,Afrikaaner,SM250839,Q84: 2; COUNTRY: 16,Afrikaaner,Q87: 7; COUNTRY: 28,Afrikaner
11,Afrikaaner,SM250839,Q84: 2; COUNTRY: 16,Afrikaaner,Q87: 7; COUNTRY: 22,Afrikaner
12,Akan,SM250988,Q84: 3; COUNTRY: 27,Akan,Q87: 8; COUNTRY: 8,Akan
13,Akan,SM250988,Q84: 3; COUNTRY: 27,Akan,Q87: 8; COUNTRY: 11,Akan
14,Akan,SM250988,Q84: 3; COUNTRY: 5,Akan,Q87: 8; COUNTRY: 8,Akan
15,Akan,SM250988,Q84: 3; COUNTRY: 5,Akan,Q87: 8; COUNTRY: 11,Akan
16,Akebou,SM251082,Q84: 1153; COUNTRY: 24,Akébou,Q87: 1151; COUNTRY: 32,Akebou
17,Akele,SM250355,,,Q87: 1707; COUNTRY: 10,Kélè
18,Aklobo,SM250841,Q84: 1159; COUNTRY: 24,Aklobo,,
19,Akposso,SM251513,Q84: 1148; COUNTRY: 24,Ikposso (Akposso),Q87: 1148; COUNTRY: 32,Ikposso (Akposso)
20,Alago,SM250018,,,Q87: 645; COUNTRY: 24,Alago
21,Algeria-Arab,SM251083,,,Q87: 9; COUNTRY: 1,Arab
22,Algeria-DK,SM251145,,,Q87: 9999; COUNTRY: 1,Don't know
23,Algeria-Refused,SM251147,,,Q87: 9998; COUNTRY: 1,Refused to answer
24,Algerian,SM251146,,,Q87: 9990; COUNTRY: 1,"National identity only, or 'doesnt think of self in those terms'"
25,Aliba (classified as clan of Lugbara),SM250842,Q84: 808; COUNTRY: 18,Aliba,,
26,Alur,SM250028,Q84: 789; COUNTRY: 18,Alur,Q87: 789; COUNTRY: 34,Alur
27,Annang,SM251632,Q84: 646; COUNTRY: 14,Anang,,
28,Antakarana,SM250843,Q84: 420; COUNTRY: 9,Antakarana,Q87: 420; COUNTRY: 16,Antakarana
29,Antandroy,SM250738,Q84: 422; COUNTRY: 9,Antandroy,Q87: 422; COUNTRY: 16,Antandroy
30,Antanosy,SM250845,Q84: 423; COUNTRY: 9,Antanosy,Q87: 423; COUNTRY: 16,Antanosy
31,Antefasy,SM251012,Q84: 424; COUNTRY: 9,Antefasy,Q87: 424; COUNTRY: 16,Antefasy
32,Appolo Ou N'Zima,SM250956,Q84: 282; COUNTRY: 5,Nzema,,
33,Arab-Kenya,SM250847,Q84: 4; COUNTRY: 6,Arabe,,
34,Arabe Choua,SM251015,Q84: 1228; COUNTRY: 26,Arabe choua,Q87: 10; COUNTRY: 23,Arabe
35,Arabe Choua,SM251015,Q84: 1228; COUNTRY: 26,Arabe choua,Q87: 1228; COUNTRY: 6,Arabe Choua
36,Arabe Choua,SM251015,Q84: 4; COUNTRY: 23,Arabe,Q87: 10; COUNTRY: 23,Arabe
37,Arabe Choua,SM251015,Q84: 4; COUNTRY: 23,Arabe,Q87: 1228; COUNTRY: 6,Arabe Choua
38,Arabe Choua,SM251015,Q84: 642; COUNTRY: 14,Shuwa-Arab,Q87: 10; COUNTRY: 23,Arabe
39,Arabe Choua,SM251015,Q84: 642; COUNTRY: 14,Shuwa-Arab,Q87: 1228; COUNTRY: 6,Arabe Choua
40,Aringa,SM250848,Q84: 804; COUNTRY: 18,Aringa,,
41,Arusha,SM251103,Q84: 778; COUNTRY: 17,Muarusha,Q87: 759; COUNTRY: 31,Waarusha
42,Ateso,SM250751,Q84: 314; COUNTRY: 6,Teso,Q87: 313; COUNTRY: 13,Teso
43,Ateso,SM250751,Q84: 314; COUNTRY: 6,Teso,Q87: 787; COUNTRY: 34,Ateso
44,Ateso,SM250751,Q84: 787; COUNTRY: 18,Ateso,Q87: 313; COUNTRY: 13,Teso
45,Ateso,SM250751,Q84: 787; COUNTRY: 18,Ateso,Q87: 787; COUNTRY: 34,Ateso
46,Awori,SM250849,Q84: 638; COUNTRY: 14,Awori,,
47,BF-Refused,SM251306,Q84: 9998; COUNTRY: 3,Refused,,
48,Bafia,SM250054,Q84: 1229; COUNTRY: 26,Bafia,Q87: 1229; COUNTRY: 6,Bafia
49,Bafokeng,SM251044,Q84: 343; COUNTRY: 7,Mofokeng,Q87: 343; COUNTRY: 14,Mofokeng
50,Bafumbira,SM251060,Q84: 801; COUNTRY: 18,Mufumbira,,
51,Bafut,SM250055,Q84: 1230; COUNTRY: 26,Bafut,Q87: 1230; COUNTRY: 6,Bafut
52,Bagwere,SM250945,Q84: 794; COUNTRY: 18,Mugwere,Q87: 794; COUNTRY: 34,Mugwere
53,Bainounk,SM250058,Q84: 668; COUNTRY: 15,BAYNOUK,,
54,Bajju,SM250850,Q84: 654; COUNTRY: 14,Bajju,,
55,Bajuni,SM250059,Q84: 2760; COUNTRY: 17,Mgunya,,
56,Bakiga,SM250161,Q84: 795; COUNTRY: 18,Mukiga,Q87: 795; COUNTRY: 34,Mukiga
57,Bakonjo,SM250382,Q84: 785; COUNTRY: 18,Mukhonjo,Q87: 785; COUNTRY: 34,Mukhonjo
58,Bakossi,SM250016,Q84: 1231; COUNTRY: 26,Bakassi,,
59,Bakundu-Oroko,SM250624,Q84: 1232; COUNTRY: 26,Bakundu,Q87: 1232; COUNTRY: 6,Bakundu
60,Bakweri,SM250520,Q84: 1225; COUNTRY: 26,Bakweri,Q87: 1225; COUNTRY: 6,Bakweri
61,Balanta,SM250063,Q84: 669; COUNTRY: 15,BALANTE,Q87: 669; COUNTRY: 26,Balante
62,Bambara,SM250065,Q84: 501; COUNTRY: 11,Bambara,Q87: 501; COUNTRY: 18,Bambara
63,Bamilike-Central,SM250066,Q84: 1221; COUNTRY: 26,Bameleké,Q87: 1221; COUNTRY: 6,Bamiléké
64,Bamoun,SM250067,Q84: 1235; COUNTRY: 26,Bamoun,Q87: 1235; COUNTRY: 6,Bamoun
65,Bangwa,SM250852,Q84: 1236; COUNTRY: 26,Bangwa,Q87: 1236; COUNTRY: 6,Bangwa
66,Banyang,SM250855,Q84: 1239; COUNTRY: 26,Bayangi,Q87: 1239; COUNTRY: 6,Bayangi
67,Banyankole,SM251062,Q84: 781; COUNTRY: 18,Munyankole,Q87: 781; COUNTRY: 34,Munyankole
68,Banyoro,SM250616,Q84: 782; COUNTRY: 18,Munyoro,Q87: 782; COUNTRY: 34,Munyoro
69,Bapuna,SM252043,,,Q87: 1701; COUNTRY: 10,Punu/Mériè
70,Bara,SM250078,Q84: 427; COUNTRY: 9,Bara,Q87: 427; COUNTRY: 16,Bara
71,Bariba,SM250051,Q84: 102; COUNTRY: 1,Bariba,Q87: 102; COUNTRY: 2,Briba
72,Baruuli,SM250946,Q84: 803; COUNTRY: 18,Mululi,,
73,Basa (Cameroon),SM250853,Q84: 1226; COUNTRY: 26,Basa,Q87: 11; COUNTRY: 6,Bassa
74,Basoga,SM250687,Q84: 783; COUNTRY: 18,Musoga,Q87: 783; COUNTRY: 34,Musoga
75,Basotho,SM251171,,,Q87: 9990; COUNTRY: 14,"National identity only, or 'doesnt think of self in those terms'"
76,Bassa (Liberia),SM250598,Q84: 380; COUNTRY: 8,Bassa,Q87: 11; COUNTRY: 15,Bassa
77,Baster,SM250854,Q84: 594; COUNTRY: 13,Baster,Q87: 594; COUNTRY: 22,Baster
78,Batagwenda,SM251065,Q84: 800; COUNTRY: 18,Mutagwenda,,
79,Batanga,SM250083,Q84: 1237; COUNTRY: 26,Batanga,Q87: 1237; COUNTRY: 6,Batanga
80,Batoro,SM250764,Q84: 796; COUNTRY: 18,Mutooro,Q87: 796; COUNTRY: 34,Mutooro
81,Batwa,SM251077,Q84: 1182; COUNTRY: 25,Twa,,
82,Belle,SM250856,Q84: 381; COUNTRY: 8,Belle,Q87: 381; COUNTRY: 15,Belle
83,Bemba,SM250089,Q84: 820; COUNTRY: 19,Bemba,Q87: 820; COUNTRY: 35,Bemba
84,Ben (Moba),SM251019,Q84: 1144; COUNTRY: 24,Ben (Moba),Q87: 1144; COUNTRY: 32,Ben (Moba)
85,Bena,SM250091,Q84: 759; COUNTRY: 17,Mbena,Q87: 760; COUNTRY: 31,Wabena
86,Berom,SM250096,Q84: 641; COUNTRY: 14,Birom,,
87,Betamariba,SM250193,Q84: 105; COUNTRY: 1,Ditamari,Q87: 105; COUNTRY: 2,Ditamari
88,Beti,SM250857,Q84: 1220; COUNTRY: 26,Beti,Q87: 1220; COUNTRY: 6,Beti
89,Betsileo,SM250101,Q84: 428; COUNTRY: 9,Betsileo,Q87: 428; COUNTRY: 16,Betsileo
90,Betsimisaraka,SM250586,Q84: 429; COUNTRY: 9,Betsimisaraka,Q87: 429; COUNTRY: 16,Betsimisaraka
91,Bezanozano,SM250858,Q84: 430; COUNTRY: 9,Bezanozano,Q87: 430; COUNTRY: 16,Bezanozano
92,Bimoba,SM251020,Q84: 274; COUNTRY: 5,Bimoba,,
93,Birifor,SM250109,Q84: 187; COUNTRY: 3,Birifor,Q87: 187; COUNTRY: 4,Birifor
94,Bisa,SM250411,Q84: 831; COUNTRY: 19,Bisa,Q87: 831; COUNTRY: 35,Bisa
95,Bissa,SM250112,Q84: 185; COUNTRY: 3,Bissa,Q87: 274; COUNTRY: 11,Buzanga
96,Bissa,SM250112,Q84: 185; COUNTRY: 3,Bissa,Q87: 185; COUNTRY: 4,Bissa
97,Bitonga (Mozambique),SM250859,Q84: 546; COUNTRY: 12,Bitonga,Q87: 546; COUNTRY: 21,Bitonga
98,Bobo Fing (Mande),SM250114,Q84: 5; COUNTRY: 3,Bobo,Q87: 12; COUNTRY: 18,Bobo
99,Bobo Fing (Mande),SM250114,Q84: 5; COUNTRY: 3,Bobo,Q87: 12; COUNTRY: 4,Bobo
100,Bobo Fing (Mande),SM250114,Q84: 5; COUNTRY: 11,Bobo,Q87: 12; COUNTRY: 18,Bobo
101,Bobo Fing (Mande),SM250114,Q84: 5; COUNTRY: 11,Bobo,Q87: 12; COUNTRY: 4,Bobo
102,Bocha,SM251021,Q84: 875; COUNTRY: 20,Bocha,,
103,Boran,SM250125,Q84: 320; COUNTRY: 6,Borana,Q87: 317; COUNTRY: 13,Borana
104,"Borgu Fulfulde (Benin,Togo)",SM250962,Q84: 27; COUNTRY: 1,Peulh,Q87: 29; COUNTRY: 32,Peulh
105,"Borgu Fulfulde (Benin,Togo)",SM250962,Q84: 27; COUNTRY: 1,Peulh,Q87: 29; COUNTRY: 2,Peulh
106,"Borgu Fulfulde (Benin,Togo)",SM250962,Q84: 27; COUNTRY: 24,Peulh,Q87: 29; COUNTRY: 32,Peulh
107,"Borgu Fulfulde (Benin,Togo)",SM250962,Q84: 27; COUNTRY: 24,Peulh,Q87: 29; COUNTRY: 2,Peulh
108,Botswana-DK,SM251149,Q84: 9999; COUNTRY: 2,Don't know,Q87: 9999; COUNTRY: 3,Don't know
109,Botswana-Refused,SM251305,Q84: 9998; COUNTRY: 2,Refused,,
110,Botswanan,SM251150,Q84: 9990; COUNTRY: 2,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 3,"National identity only, or 'doesnt think of self in those terms'"
111,Bozo,SM250126,Q84: 504; COUNTRY: 11,Bozo,Q87: 504; COUNTRY: 18,Bozo
112,Buja,SM251022,Q84: 874; COUNTRY: 20,Buja,Q87: 870; COUNTRY: 36,Buja
113,Bulsa,SM250132,Q84: 275; COUNTRY: 5,Bulsa,Q87: 277; COUNTRY: 11,Bulsa
114,Burundi-DK,SM251310,Q84: 9999; COUNTRY: 25,Don't know,,
115,Burundi-Others,SM251308,Q84: 9995; COUNTRY: 25,Others,,
116,Burundi-Refused,SM251309,Q84: 9998; COUNTRY: 25,Refused,,
117,Burundian,SM251307,Q84: 9990; COUNTRY: 25,"National identity only, or ""doesn't think of self in those terms""",,
118,Busa,SM250137,Q84: 108; COUNTRY: 1,Boo,,
119,Buzu,SM250990,Q84: 502; COUNTRY: 11,Bella,Q87: 502; COUNTRY: 18,Bella
120,Bwamu,SM7385,Q84: 192; COUNTRY: 3,Bwaba,Q87: 192; COUNTRY: 4,Bwana
121,Bwile,SM250861,Q84: 848; COUNTRY: 19,Bwile,,
122,Cameroon-DK,SM251153,Q84: 9999; COUNTRY: 26,Don't know,Q87: 9999; COUNTRY: 6,Don't know
123,Cameroon-Missing,SM251154,Q84: -1; COUNTRY: 26,Missing,Q87: -1; COUNTRY: 6,Missing
124,Cameroon-Refused,SM251312,Q84: 9998; COUNTRY: 26,Refused,,
125,Cameroonian,SM251311,Q84: 9990; COUNTRY: 26,"National identity only, or ""doesn't think of self in those terms""",,
126,Cape Coloured,SM454490,Q84: 7; COUNTRY: 16,Coloured,Q87: 14; COUNTRY: 28,Coloured
127,Cape Verde-African,SM251156,Q84: 221; COUNTRY: 4,African,Q87: 6; COUNTRY: 7,African
128,Cape Verde-American or European,SM251157,Q84: 222; COUNTRY: 4,American or european,Q87: 222; COUNTRY: 7,American or European
129,Cape Verde-DK,SM251158,Q84: 9999; COUNTRY: 4,Don't know,Q87: 9999; COUNTRY: 7,Don't know
130,Cape Verde-Other,SM251160,Q84: 9995; COUNTRY: 4,Others,Q87: 9995; COUNTRY: 7,Other
131,Cape Verde-Refused to answer,SM251161,Q84: 9998; COUNTRY: 4,Refused,Q87: 9998; COUNTRY: 7,Refused to answer
132,Cape Verdean,SM252595,Q84: 9990; COUNTRY: 4,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 7,"National identity only, or 'doesnt think of self in those terms'"
133,Caprivi languages (excluding Lozi),SM250862,Q84: 582; COUNTRY: 13,Caprivian,Q87: 582; COUNTRY: 22,Caprivian
134,Central Kanuri,SM250344,Q84: 628; COUNTRY: 14,Kanuri,Q87: 18; COUNTRY: 23,Kanuri
135,Central Kanuri,SM250344,Q84: 628; COUNTRY: 14,Kanuri,Q87: 18; COUNTRY: 24,Kanuri
136,Central Kanuri,SM250344,Q84: 1104; COUNTRY: 23,Kanouri,Q87: 18; COUNTRY: 23,Kanuri
137,Central Kanuri,SM250344,Q84: 1104; COUNTRY: 23,Kanouri,Q87: 18; COUNTRY: 24,Kanuri
138,Chagga,SM250156,Q84: 741; COUNTRY: 17,Kichaga,Q87: 741; COUNTRY: 31,Wachaga
139,Chakosi,SM250037,Q84: 1160; COUNTRY: 24,Tchokossi (Anoufom),Q87: 1160; COUNTRY: 32,Tchokossi (Anoufom)
140,Chamba (Daka and Leko),SM250661,Q84: 2621; COUNTRY: 14,Chamba,,
141,"Chaouia (Aures, Algeria)",SM250727,,,Q87: 1421; COUNTRY: 1,Chaoui
142,Chewa,SM250160,Q84: 6; COUNTRY: 12,Chewa,Q87: 13; COUNTRY: 35,Chewa
143,Chewa,SM250160,Q84: 6; COUNTRY: 12,Chewa,Q87: 463; COUNTRY: 17,Chewu
144,Chewa,SM250160,Q84: 6; COUNTRY: 12,Chewa,Q87: 13; COUNTRY: 36,Chewa
145,Chewa,SM250160,Q84: 881; COUNTRY: 20,Chewa,Q87: 13; COUNTRY: 35,Chewa
146,Chewa,SM250160,Q84: 881; COUNTRY: 20,Chewa,Q87: 463; COUNTRY: 17,Chewu
147,Chewa,SM250160,Q84: 881; COUNTRY: 20,Chewa,Q87: 13; COUNTRY: 36,Chewa
148,Chewa,SM250160,Q84: 463; COUNTRY: 10,Chewa,Q87: 13; COUNTRY: 35,Chewa
149,Chewa,SM250160,Q84: 463; COUNTRY: 10,Chewa,Q87: 463; COUNTRY: 17,Chewu
150,Chewa,SM250160,Q84: 463; COUNTRY: 10,Chewa,Q87: 13; COUNTRY: 36,Chewa
151,Chewa,SM250160,Q84: 6; COUNTRY: 19,Chewa,Q87: 13; COUNTRY: 35,Chewa
152,Chewa,SM250160,Q84: 6; COUNTRY: 19,Chewa,Q87: 463; COUNTRY: 17,Chewu
153,Chewa,SM250160,Q84: 6; COUNTRY: 19,Chewa,Q87: 13; COUNTRY: 36,Chewa
154,Chibarue,SM251017,Q84: 551; COUNTRY: 12,Barue,,
155,Chigorogonza,SM251031,Q84: 564; COUNTRY: 12,Gorongozi,,
156,Chikunda,SM251128,Q84: 880; COUNTRY: 20,Chikunda,Q87: 841; COUNTRY: 35,Kunda
157,Chikunda,SM251128,Q84: 841; COUNTRY: 19,Kunda,Q87: 841; COUNTRY: 35,Kunda
158,Chimanica,SM251041,Q84: 562; COUNTRY: 12,Manica,Q87: 865; COUNTRY: 36,Manyika
159,Chimanica,SM251041,Q84: 865; COUNTRY: 20,Manyika,Q87: 865; COUNTRY: 36,Manyika
160,Chinese-Mauritius,SM250863,Q84: 901; COUNTRY: 21,Chenese,Q87: 901; COUNTRY: 19,Chinese
161,Chokwe,SM250162,,,Q87: 839; COUNTRY: 35,Chokwe
162,Chopi,SM487666,Q84: 545; COUNTRY: 12,Chope,Q87: 545; COUNTRY: 21,Chope
163,Cote D'Ivoiren,SM251162,Q84: 9990; COUNTRY: 27,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 8,"National identity only, or 'doesnt think of self in those terms'"
164,Cote d’Ivoire-DK,SM251314,Q84: 9999; COUNTRY: 27,Don't know,,
165,Cote d’Ivoire-Refused,SM251313,Q84: 9998; COUNTRY: 27,Refused,,
166,Daba,SM250867,Q84: 1240; COUNTRY: 26,Daba,Q87: 1240; COUNTRY: 6,Daba
167,Dafing,SM251025,Q84: 8; COUNTRY: 11,Dafing,Q87: 195; COUNTRY: 4,Marka
168,Dafing,SM251025,Q84: 8; COUNTRY: 11,Dafing,Q87: 505; COUNTRY: 18,Daffing
169,Dafing,SM251025,Q84: 8; COUNTRY: 3,Dafing,Q87: 195; COUNTRY: 4,Marka
170,Dafing,SM251025,Q84: 8; COUNTRY: 3,Dafing,Q87: 505; COUNTRY: 18,Daffing
171,Dafing,SM251025,Q84: 195; COUNTRY: 3,Marka,Q87: 195; COUNTRY: 4,Marka
172,Dafing,SM251025,Q84: 195; COUNTRY: 3,Marka,Q87: 505; COUNTRY: 18,Daffing
173,Dagomba,SM7416,Q84: 263; COUNTRY: 5,Dagomba,Q87: 263; COUNTRY: 11,Dagomba
174,Damara,SM250175,Q84: 589; COUNTRY: 13,Damara,Q87: 589; COUNTRY: 22,Damara
175,Damara,SM250175,Q84: 157; COUNTRY: 2,Modamara,Q87: 589; COUNTRY: 22,Damara
176,Dan,SM250177,Q84: 384; COUNTRY: 8,Gio,Q87: 384; COUNTRY: 15,Gio
177,Degema,SM251085,,,Q87: 646; COUNTRY: 24,Degema
178,Dendi,SM250183,Q84: 103; COUNTRY: 1,Dendi,Q87: 103; COUNTRY: 2,Dendi
179,Dey,SM250868,Q84: 382; COUNTRY: 8,Dei,Q87: 382; COUNTRY: 15,Dei
180,Dii,SM250870,Q84: 1241; COUNTRY: 26,Dii,Q87: 1241; COUNTRY: 6,Dii
181,Diola,SM250332,Q84: 665; COUNTRY: 15,Diola,Q87: 665; COUNTRY: 26,Diola
182,Dioula,SM250216,Q84: 181; COUNTRY: 3,Dioula,Q87: 181; COUNTRY: 4,Dioula
183,Doe,SM250922,Q84: 777; COUNTRY: 17,Mdoe,,
184,Dogon,SM250209,Q84: 506; COUNTRY: 11,Dogon,Q87: 506; COUNTRY: 18,Dogon
185,Ebira,SM250222,Q84: 624; COUNTRY: 14,Ebira,Q87: 624; COUNTRY: 24,Ebira
186,Echuwabo,SM250164,Q84: 548; COUNTRY: 12,Chuabo,Q87: 548; COUNTRY: 21,Chuabo
187,Edo,SM250106,Q84: 632; COUNTRY: 14,Edo,Q87: 632; COUNTRY: 24,Edo
188,Efik,SM250871,Q84: 623; COUNTRY: 14,Efik,Q87: 623; COUNTRY: 24,Efik
189,Eggon,SM251086,,,Q87: 647; COUNTRY: 24,Eggon
190,English-Kenya,SM251087,,,Q87: 1; COUNTRY: 13,English
191,English-Liberia,SM250873,Q84: 9; COUNTRY: 8,English,Q87: 1; COUNTRY: 15,English
192,English-South Africa,SM250874,Q84: 9; COUNTRY: 16,English,Q87: 1; COUNTRY: 28,English
193,English-Zambia,SM250875,Q84: 9; COUNTRY: 19,English,,
194,Esan,SM250876,Q84: 650; COUNTRY: 14,Esan,,
195,Ewe,SM250232,Q84: 1140; COUNTRY: 24,Ewé,Q87: 1140; COUNTRY: 32,Ewe
196,Ewe,SM250232,Q84: 1140; COUNTRY: 24,Ewé,Q87: 261; COUNTRY: 11,Ewe/Anglo
197,Ewe,SM250232,Q84: 261; COUNTRY: 5,Ewe/Anglo,Q87: 1140; COUNTRY: 32,Ewe
198,Ewe,SM250232,Q84: 261; COUNTRY: 5,Ewe/Anglo,Q87: 261; COUNTRY: 11,Ewe/Anglo
199,Fali (Cameroon),SM253361,Q84: 1242; COUNTRY: 26,Fali,Q87: 1242; COUNTRY: 6,Fali
200,Fang-generic,SM250234,,,Q87: 1700; COUNTRY: 10,Fang
201,Fipa,SM250237,Q84: 755; COUNTRY: 17,Kifipa,Q87: 755; COUNTRY: 31,Wafipa
202,Fon-generic,SM462058,Q84: 10; COUNTRY: 1,Fon,Q87: 15; COUNTRY: 32,Fon
203,Fon-generic,SM462058,Q84: 10; COUNTRY: 1,Fon,Q87: 15; COUNTRY: 2,Fon
204,Fon-generic,SM462058,Q84: 10; COUNTRY: 24,Fon,Q87: 15; COUNTRY: 32,Fon
205,Fon-generic,SM462058,Q84: 10; COUNTRY: 24,Fon,Q87: 15; COUNTRY: 2,Fon
206,Frafra,SM250878,Q84: 272; COUNTRY: 5,Frafra,Q87: 272; COUNTRY: 11,Frafra
207,Franco-Mauritians,SM250877,Q84: 902; COUNTRY: 21,Euro-Mauritian (white),Q87: 902; COUNTRY: 19,Euro-Mauritian (White)
208,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 182; COUNTRY: 3,Peulh,Q87: 182; COUNTRY: 4,Peuhl
209,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 182; COUNTRY: 3,Peulh,Q87: 1102; COUNTRY: 23,Fulfuldé
210,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 27; COUNTRY: 23,Peulh,Q87: 182; COUNTRY: 4,Peuhl
211,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 27; COUNTRY: 23,Peulh,Q87: 1102; COUNTRY: 23,Fulfuldé
212,GaDAngme,SM250991,Q84: 262; COUNTRY: 5,Ga/Adangbe,Q87: 262; COUNTRY: 11,Ga/Adangbe
213,Gana,SM251088,,,Q87: 507; COUNTRY: 18,Gana
214,Garre,SM251089,,,Q87: 316; COUNTRY: 13,Garre
215,Gbagyi,SM250880,Q84: 652; COUNTRY: 14,Gbagyi,,
216,Gbandi,SM250071,Q84: 383; COUNTRY: 8,Gbandi,Q87: 383; COUNTRY: 15,Gbandi
217,Ge,SM250252,Q84: 1141; COUNTRY: 24,Mina (Guen),Q87: 1141; COUNTRY: 32,Mina (Guen)
218,German Namibians,SM493648,Q84: 584; COUNTRY: 13,German,Q87: 584; COUNTRY: 22,German
219,Ghana-DK,SM251315,Q84: 9999; COUNTRY: 5,Don't know,,
